IP,Port,DataCenter,City,TLS,Sent,Received,LossRate,AverageLatency,DownloadSpeedMBps
57.128.181.219,443,LHR,GB [BJ#04 7.5MB/s],true,2,2,0,160.42,7.46
57.128.181.221,8443,LHR,GB [BJ#05 6.5MB/s],true,2,2,0,165.64,6.55
57.128.182.21,443,LHR,GB [BJ#06 5.7MB/s],true,2,2,0,166.25,5.7
57.128.177.198,443,LHR,GB [BJ#07 5.7MB/s],true,2,2,0,167,5.65
57.128.183.35,8443,LHR,GB [BJ#08 8.0MB/s],true,2,2,0,178.74,7.99
57.128.183.59,443,LHR,GB [BJ#09 7.8MB/s],true,2,2,0,179.82,7.75
57.128.181.14,8443,LHR,GB [BJ#10 5.5MB/s],true,2,2,0,182.94,5.45
91.218.183.98,8443,LHR,GB [BJ#11 6.3MB/s],true,2,2,0,183.44,6.27
57.128.183.138,443,LHR,GB [BJ#12 5.6MB/s],true,2,2,0,183.83,5.63
57.128.183.248,8443,LHR,GB [BJ#13 7.4MB/s],true,2,2,0,184.59,7.36
185.169.234.13,443,LHR,GB [BJ#14 3.5MB/s],true,2,2,0,186.56,3.49
57.128.180.98,443,LHR,GB [BJ#15 5.2MB/s],true,2,2,0,192.45,5.19
194.60.86.243,8443,LHR,GB [BJ#16 6.1MB/s],true,2,2,0,194.02,6.09
158.220.88.180,2053,MAN,GB [BJ#17 3.8MB/s],true,2,2,0,195.81,3.77
82.38.128.149,443,LHR,GB [BJ#18 5.8MB/s],true,2,2,0,205.6,5.85
185.169.234.175,443,LHR,GB [BJ#19 5.3MB/s],true,2,2,0,207.65,5.31
82.39.250.143,443,LHR,GB [BJ#20 6.8MB/s],true,2,2,0,208.8,6.85
38.147.173.136,443,HKG,HK [BJ#01 9.1MB/s],true,2,2,0,47.17,9.12
43.175.131.30,443,HKG,HK [BJ#02 12.8MB/s],true,2,2,0,57.14,12.83
1.13.254.140,8443,HKG,HK [BJ#03 18.8MB/s],true,2,2,0,62.16,18.83
119.45.41.162,8443,HKG,HK [BJ#04 16.2MB/s],true,2,2,0,65.44,16.16
129.211.188.184,8443,HKG,HK [BJ#05 8.8MB/s],true,2,2,0,68.45,8.8
160.25.75.40,443,HKG,HK [BJ#06 8.4MB/s],true,2,2,0,111.29,8.4
104.26.1.13,8443,HKG,HK [BJ#07 7.6MB/s],true,2,2,0,179.24,7.57
162.159.133.190,8443,HKG,HK [BJ#08 7.6MB/s],true,2,2,0,179.58,7.6
104.26.1.43,2083,HKG,HK [BJ#09 7.4MB/s],true,2,2,0,179.63,7.42
104.26.1.170,8443,HKG,HK [BJ#10 7.7MB/s],true,2,2,0,180.41,7.71
162.159.133.42,2083,HKG,HK [BJ#11 7.6MB/s],true,2,2,0,180.53,7.63
104.26.1.234,2096,HKG,HK [BJ#12 7.6MB/s],true,2,2,0,180.55,7.59
104.26.1.106,8443,HKG,HK [BJ#13 7.7MB/s],true,2,2,0,180.77,7.68
104.26.1.75,2083,HKG,HK [BJ#14 7.5MB/s],true,2,2,0,181.71,7.45
162.159.133.11,2083,HKG,HK [BJ#15 7.6MB/s],true,2,2,0,182.36,7.63
162.159.133.234,2083,HKG,HK [BJ#16 7.6MB/s],true,2,2,0,182.98,7.58
162.159.133.107,2083,HKG,HK [BJ#17 7.4MB/s],true,2,2,0,183.23,7.38
162.159.133.105,2083,HKG,HK [BJ#18 7.8MB/s],true,2,2,0,184.15,7.76
104.26.1.12,2096,HKG,HK [BJ#19 7.5MB/s],true,2,2,0,184.32,7.51
162.159.133.170,2083,HKG,HK [BJ#20 7.7MB/s],true,2,2,0,184.75,7.73
63.32.194.15,8443,DUB,IE [BJ#01 6.1MB/s],true,2,2,0,159.46,6.09
54.229.164.147,2053,DUB,IE [BJ#02 0.0MB/s],true,2,2,0,163.48,0.01
108.128.156.233,443,DUB,IE [BJ#03 8.0MB/s],true,2,2,0,183.76,7.97
80.211.24.141,443,MXP,IT [BJ#01 7.0MB/s],true,2,2,0,170.49,7.03
80.211.238.227,443,MXP,IT [BJ#02 6.7MB/s],true,2,2,0,177.75,6.67
80.211.134.75,443,MXP,IT [BJ#03 5.1MB/s],true,2,2,0,177.87,5.06
80.211.27.249,443,MXP,IT [BJ#04 6.1MB/s],true,2,2,0,178.24,6.14
45.144.172.33,443,MXP,IT [BJ#05 4.9MB/s],true,2,2,0,181.41,4.91
57.131.32.25,2053,MXP,IT [BJ#06 0.0MB/s],true,2,2,0,185.05,0.02
31.14.140.155,443,MXP,IT [BJ#07 6.6MB/s],true,2,2,0,198.92,6.59
80.211.24.214,443,MXP,IT [BJ#08 1.3MB/s],true,2,2,0,203.89,1.27
151.241.215.143,8443,MXP,IT [BJ#09 2.3MB/s],true,2,2,0,229.05,2.34
103.201.130.98,443,NRT,JP [BJ#01 18.9MB/s],true,2,2,0,59.22,18.9
147.79.20.177,443,NRT,JP [BJ#02 18.1MB/s],true,2,2,0,59.68,18.13
154.83.95.6,443,NRT,JP [BJ#03 16.6MB/s],true,2,2,0,60.8,16.65
45.8.173.215,8443,NRT,JP [BJ#04 16.6MB/s],true,2,2,0,61.31,16.63
166.88.98.239,443,KIX,JP [BJ#05 13.7MB/s],true,2,2,0,61.48,13.72
23.27.11.182,8443,KIX,JP [BJ#06 17.5MB/s],true,2,2,0,61.67,17.52
45.192.201.197,443,NRT,JP [BJ#07 17.2MB/s],true,2,2,0,61.96,17.23
103.85.27.26,443,NRT,JP [BJ#08 16.1MB/s],true,2,2,0,62.04,16.07
50.114.113.191,443,KIX,JP [BJ#09 13.7MB/s],true,2,2,0,63.21,13.67
45.192.206.31,8443,NRT,JP [BJ#10 12.5MB/s],true,2,2,0,63.24,12.5
45.192.243.176,443,NRT,JP [BJ#11 13.8MB/s],true,2,2,0,63.58,13.77
23.27.11.202,8443,KIX,JP [BJ#12 10.8MB/s],true,2,2,0,63.87,10.76
154.19.187.141,443,NRT,JP [BJ#13 16.2MB/s],true,2,2,0,64.29,16.2
69.8.128.249,8443,NRT,JP [BJ#14 13.5MB/s],true,2,2,0,66.96,13.47
43.131.242.223,443,ICN,KR [BJ#01 3.3MB/s],true,2,2,0,45.99,3.3
47.80.57.116,443,ICN,KR [BJ#02 7.3MB/s],true,2,2,0,54.22,7.27
123.111.169.70,2053,ICN,KR [BJ#03 8.7MB/s],true,2,2,0,55.84,8.68
158.247.224.240,443,ICN,KR [BJ#04 13.0MB/s],true,2,2,0,86.03,12.97
158.247.201.201,8443,ICN,KR [BJ#05 12.9MB/s],true,2,2,0,89.95,12.86
141.164.49.98,443,ICN,KR [BJ#06 3.7MB/s],true,2,2,0,91.49,3.72
141.164.35.4,443,ICN,KR [BJ#07 8.1MB/s],true,2,2,0,166.43,8.05
64.176.226.26,8443,ICN,KR [BJ#08 13.1MB/s],true,2,2,0,167.69,13.07
158.247.222.168,443,ICN,KR [BJ#09 13.3MB/s],true,2,2,0,170.04,13.32
158.247.253.111,2087,ICN,KR [BJ#10 10.6MB/s],true,2,2,0,172.38,10.63
147.45.184.140,8443,ARN,KZ [BJ#01 3.0MB/s],true,2,2,0,222.5,2.96
92.60.75.129,2053,AKX,KZ [BJ#02 1.9MB/s],true,2,2,0,241.11,1.88
5.39.253.208,2053,AKX,KZ [BJ#03 0.2MB/s],true,2,2,0,242.82,0.24
185.253.8.64,2053,WAW,KZ [BJ#04 2.0MB/s],true,2,2,0,251.08,2
185.253.8.44,2053,WAW,KZ [BJ#05 1.3MB/s],true,2,2,0,254.32,1.33
83.222.22.61,2053,AKX,KZ [BJ#06 3.5MB/s],true,2,2,0,256.9,3.5
45.136.57.82,2053,AKX,KZ [BJ#07 1.5MB/s],true,2,2,0,266.95,1.51
51.15.56.136,443,AMS,NL [BJ#01 8.5MB/s],true,2,2,0,136.43,8.5
51.15.105.75,8443,AMS,NL [BJ#02 8.3MB/s],true,2,2,0,136.48,8.35
51.15.127.20,2053,AMS,NL [BJ#03 7.3MB/s],true,2,2,0,136.92,7.33
162.211.231.120,443,AMS,NL [BJ#04 7.1MB/s],true,2,2,0,144.02,7.1
109.69.58.188,8443,AMS,NL [BJ#05 4.6MB/s],true,2,2,0,148.52,4.63
185.18.52.254,8443,AMS,NL [BJ#06 7.7MB/s],true,2,2,0,152.47,7.69
185.52.0.84,443,AMS,NL [BJ#07 8.1MB/s],true,2,2,0,163.98,8.13
31.57.196.17,8443,AMS,NL [BJ#08 5.6MB/s],true,2,2,0,165.06,5.63
87.225.88.81,8443,AMS,NL [BJ#09 1.1MB/s],true,2,2,0,167.44,1.09
62.106.66.207,8443,AMS,NL [BJ#10 5.3MB/s],true,2,2,0,170.01,5.31
152.53.105.151,8443,AMS,NL [BJ#11 6.0MB/s],true,2,2,0,170.85,6
5.255.105.242,8443,AMS,NL [BJ#12 7.3MB/s],true,2,2,0,178.74,7.27
89.127.195.44,8443,AMS,NL [BJ#13 7.1MB/s],true,2,2,0,179.32,7.09
