IP地址,端口,数据中心,城市,TLS,已发送,已接收,丢包率,平均延迟,下载速度(MB/s)
213.210.4.48,443,TPE,TW [CD#14 0.6MB/s],true,2,2,0.00,328.49,0.57
151.242.189.48,8443,TPE,TW [CD#15 0.6MB/s],true,2,2,0.00,329.71,0.61
141.11.87.48,8443,TPE,TW [CD#16 0.3MB/s],true,2,2,0.00,330.00,0.34
82.152.91.210,443,TPE,TW [CD#17 0.5MB/s],true,2,2,0.00,332.50,0.51
85.237.207.72,443,TPE,TW [CD#18 0.7MB/s],true,2,2,0.00,334.19,0.70
151.242.188.152,443,TPE,TW [CD#19 0.6MB/s],true,2,2,0.00,335.27,0.58
83.147.13.193,443,TPE,TW [CD#20 0.6MB/s],true,2,2,0.00,336.33,0.62
45.131.179.106,8443,LAX,US [CD#01 2.4MB/s],true,2,2,0.00,50.73,2.36
82.22.26.141,2053,SJC,US [CD#02 6.2MB/s],true,2,2,0.00,74.88,6.21
64.186.244.169,8443,LAX,US [CD#03 24.7MB/s],true,2,2,0.00,158.34,24.71
154.23.240.229,8443,SAN,US [CD#04 18.1MB/s],true,2,2,0.00,160.26,18.10
64.186.247.122,8443,SJC,US [CD#05 95.5MB/s],true,2,2,0.00,161.51,95.51
154.17.233.72,8443,SJC,US [CD#06 65.2MB/s],true,2,2,0.00,161.61,65.21
179.255.146.24,8443,SJC,US [CD#07 16.5MB/s],true,2,2,0.00,161.80,16.46
179.255.152.34,8443,LAX,US [CD#08 52.9MB/s],true,2,2,0.00,163.83,52.85
179.255.148.157,8443,SJC,US [CD#09 19.3MB/s],true,2,2,0.00,164.57,19.30
179.255.145.42,8443,SJC,US [CD#10 19.0MB/s],true,2,2,0.00,165.20,19.00
38.60.89.212,8443,LAX,US [CD#11 13.4MB/s],true,2,2,0.00,165.21,13.38
64.186.242.1,8443,SJC,US [CD#12 16.4MB/s],true,2,2,0.00,165.56,16.43
179.255.148.186,8443,PDX,US [CD#13 17.3MB/s],true,2,2,0.00,166.76,17.30
198.2.237.25,8443,SJC,US [CD#14 18.4MB/s],true,2,2,0.00,167.05,18.40
208.68.180.65,8443,SJC,US [CD#15 13.7MB/s],true,2,2,0.00,168.34,13.65
64.186.255.143,8443,SJC,US [CD#16 93.3MB/s],true,2,2,0.00,170.15,93.32
179.255.98.160,8443,SJC,US [CD#17 15.7MB/s],true,2,2,0.00,170.33,15.69
179.253.242.15,8443,SJC,US [CD#18 61.5MB/s],true,2,2,0.00,171.09,61.52
38.148.253.82,8443,LAX,US [CD#19 14.7MB/s],true,2,2,0.00,172.36,14.73
38.244.30.97,2083,LAX,US [CD#20 10.2MB/s],true,2,2,0.00,175.33,10.19
